Plot,Species,Lifeform,Treatment,Structure,photo,lma,wp,leaf.n,g,e,phis2,wue,rld,srl,rdiam,fitness,canopy,rtd,relfit,relcanopy
D3-8,Arca,P,L,D,7.642982966,63.02058867,-2.2,2.99,0.29581293,4.282566309,0.127202449,1.845609225,,,,1144.5,0.40803,,0.578684527,-0.596009901
D4-6,Arca,P,L,D,20.97029948,93.01214129,-1.25,2.59,0.384858695,5.979164661,0.19441952,3.777848439,3.438989653,113.5356371,0.2593,3574,1.053,0.167096774,1.80709349,0.042574257
D5-1,Arca,P,L,D,10.52104352,60.65229522,-1.9,3.11,0.354903508,5.042826941,0.176700528,2.152268495,4.194619168,4.967237822,0.4287,2021,0.66456,1.393213573,1.021862323,-0.342019802
D6-2,Arca,P,L,D,5.236098619,54.9450187,-1.8,3.11,0.264555504,3.593306659,0.111699286,1.496122127,,,,239.5,0.15776,,0.1210965,-0.84380198
D7-3,Arca,P,L,D,7.170620236,63.03696563,-2,2.49,0.284330268,3.862693965,0.143808979,1.735973108,,,,13.5,0.33945,,0.006825899,-0.663910891
E1-6,Arca,P,L,E,24.12029673,64.96123758,-1.5,3.03,0.273498927,4.369132221,0.220620818,5.599451994,1.239410398,103.3932927,0.4512,669.5,0.378,0.060294118,0.338514015,-0.625742574
E2-9,Arca,P,L,E,29.13751775,66.98791402,-1.75,3.04,0.249761695,4.109288165,0.191981509,7.773597237,3.841388279,43.06653555,0.3107,1224,0.65268,0.306018519,0.618881486,-0.353782178
E3-1,Arca,P,L,E,16.35060589,81.05718576,-1.6,2.97,0.112348309,1.83876578,0.17814101,10.06815957,,,,2594,1.310496,,1.311583803,0.297520792
E4-4,Arca,P,L,E,18.91292443,71.80805322,-1.75,2.98,0.170710098,2.834716926,0.149399047,7.409618947,5.663772453,73.14820313,0.3103,230.5,0.6052,0.18079096,0.116545901,-0.400792079
E5-7,Arca,P,L,E,16.51839224,60.41895926,-1.9,2.53,0.186999134,3.358221008,0.122540556,5.700528423,,,,2954,0.844966,,1.493607769,-0.1634
E6-3,Arca,P,L,E,15.92944856,65.90341648,-1.9,3.53,0.192300326,3.034819521,0.135721732,5.78592721,3.230763459,93.39498221,0.288,517.5,0.222208,0.164327485,0.261659452,-0.779992079
E7-5,Arca,P,L,E,13.62191294,86.80226396,-1.55,3.29,0.157166667,2.113888889,0.234,6.662286465,,,,1733,0.334818,,0.87624315,-0.66849703
E8-4,Arca,P,L,E,19.46994915,71.18177291,-1.4,2.64,0.148369766,1.583844165,0.200153486,11.31737629,3.232616803,180.882454,0.2402,482,0.40851,0.121641791,0.243709866,-0.595534653
